Project,Package,Module,Smell,Class,Line no,File,Description
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,Deficient encapsulation,ff_isac,337,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,Module 'ff_isac' accesses non-public code elements _replace from make_update_fns
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,Deficient encapsulation,ff_isac,338,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,Module 'ff_isac' accesses non-public code elements _replace from make_update_fns
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,Deficient encapsulation,ff_isac,441,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,Module 'ff_isac' accesses non-public code elements _replace from make_update_fns
dataset,dataset.codespell.codespell_lib,_codespell,Broken modularization,QuietLevels,154,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Class 'QuietLevels' contains only data members without any method implementations.
dataset,dataset.codespell.codespell_lib,_codespell,Insufficient modularization,_codespell,1,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"Module '_codespell' is insufficiently modularized with NOPM: 15, WMC: 178, NOM: 20."
dataset,dataset.codespell.codespell_lib,_codespell,Multifaceted abstraction,Summary,186,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,"Class 'Summary' has a high LCOM value of 1, indicating it may have multiple responsibilities."
dataset,dataset.codespell.codespell_lib,_codespell,Feature envy,_codespell,873,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Function 'parse_file' in module '_codespell' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `_codespell`.
dataset,dataset.codespell.codespell_lib,_codespell,Feature envy,_codespell,1117,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py,Function 'main' in module '_codespell' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `_codespell`.
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,Deficient encapsulation,test_dictionary,47,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py,Module 'test_dictionary' accesses non-public code elements _builtin_dictionaries from test_dictionary
dataset,dataset.codespell.codespell_lib.tests,test_basic,Insufficient modularization,test_basic,1,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,"Module 'test_basic' is insufficiently modularized with NOPM: 36, WMC: 63, NOM: 37."
dataset,dataset.codespell.codespell_lib.tests,test_basic,Multifaceted abstraction,test_basic,1,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py,"Class 'test_basic' has a high LCOM value of 0.86, indicating it may have multiple responsibilities."
dataset,dataset.maltrail.core,settings,Insufficient modularization,settings,1,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/settings.py,"Module 'settings' is insufficiently modularized with NOPM: 9, WMC: 124, NOM: 10."
dataset,dataset.maltrail.core,update,Deficient encapsulation,update,53,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/update.py,Module 'update' accesses non-public code elements _create_default_https_context from update
dataset,dataset.maltrail.core,update,Deficient encapsulation,update,53,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/update.py,Module 'update' accesses non-public code elements _create_unverified_context from update
dataset,dataset.maltrail.core,update,Deficient encapsulation,update,146,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/update.py,Module 'update' accesses non-public code elements __url__ from update_trails
dataset,dataset.maltrail.core,update,Deficient encapsulation,update,172,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/update.py,Module 'update' accesses non-public code elements __name__ from update_trails
dataset,dataset.maltrail.core,update,Insufficient modularization,update,1,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/update.py,"Module 'update' is insufficiently modularized with NOPM: 3, WMC: 132, NOM: 5."
